Row.names	betahat	sebetahat	WaldP	WaldPadj	PosteriorMean	lfsr	lfdr	qvalue	baseMean	log2FoldChange	lfcSE	pvalue	padj	groupID	labels
ENSG00000108963.19:O001	1.06052503137837	0.15472939871339	7.17825798801641e-12	1.01003807088019e-10	1.06052503030587	1.01476481166779e-09	1.01117568267741e-09	5.37254484979674e-11	314.92146345853	0.186420496483841	0.248437808114906	0.421135418023804	0.78449291679975	ENSG00000108963.19	mORF
ENSG00000110321.19:O012	1.94182872966205	1.22453029988199	0.112790508220887	0.23535027305933	0.651739387894497	0.523669267674497	0.477305231859824	0.114265518725232	33.0358672674487	-0.164381718631498	0.648479495680535	0.506707946147325	0.834673640155494	NA	NA
ENSG00000110880.11:O013	-0.342123834718582	0.991879416072157	0.730150886423772	0.924315214501432	-0.0861419940657182	0.817087922815782	0.708823263732887	0.333903889348126	10.7759581767884	0.04726882871277	0.638754842297431	0.823405018515941	0.957609640546899	ENSG00000110880.11	dORF
ENSG00000110917.9:O002	1.54184274385817	0.138154277444518	0	0	1.54184208046753	1.61824873599899e-26	1.61824873599899e-26	7.99417638427957e-28	472.350846177953	0.0915661967903807	0.218437012952985	0.6521913163888	0.898605511448655	ENSG00000110917.9	mORF
ENSG00000111276.12:O001	-1.23670741760252	0.824923744366793	0.13382749586064	0.269008493575748	-0.517480639019715	0.557126628744253	0.521516165299494	0.135172764957582	364.833810468671	1.21563586839228	0.265769216206965	1.3126173571746e-06	1.76024131618206e-05	ENSG00000111276.12	mORF
ENSG00000111328.7:O017	1.68181697702953	0.555036576762774	0.00244471837528981	0.00912465309087042	1.46615374259271	0.0517938043054545	0.0504372693381709	0.00553215995623836	48.049290139083	-1.10849359868475	0.924940245142932	0.0351418649119254	0.160352973463708	ENSG00000111328.7	dORF
ENSG00000111328.7:O018	0.239386078480048	0.171108366817413	0.161803391096496	0.313358577153994	0.0370496645542488	0.85775161158691	0.845230496320041	0.404868668308646	447.013761475863	0.577904503741858	0.23578325378996	0.00917644229105567	0.052823879782339	ENSG00000111328.7	mORF
ENSG00000111530.13:O001	-1.7907118379058	0.65712596625207	0.00642885723736231	0.0217486872498001	-1.3931609390618	0.109686457055963	0.105996715310181	0.0119800558171333	46.82813531812	1.76404740143599	1.20322179272941	0.00816350165693024	0.0477972375143087	ENSG00000111530.13	uORF
ENSG00000111669.15:O001	-1.44912194804106	0.707608423952956	0.0405683229401024	0.1028766084127	-0.870492733799525	0.344393637628648	0.328934612570206	0.06023698450192	2354.6310891436	1.46949240573693	0.135855924091351	5.22819503007684e-28	9.37648861098003e-26	ENSG00000111669.15	mORF
ENSG00000111786.10:O003	1.82894935014143	1.06155368726079	0.0849068655256389	0.184934131761323	0.73669670873315	0.471341948830991	0.436492193958191	0.101870827664177	38.4225596461544	-0.4587359780611	0.758766694265118	0.194622688091746	0.536207857220052	NA	NA
ENSG00000112078.14:O010	20.8637673025417	18082.8757806861	0.99907941223955	0.999997263596305	6.18077788950211e-08	0.78262656808819	0.565253170571077	0.21799179967016	37.6011271542808	-0.450058578673295	0.815990067014363	0.106553519275773	0.368124286433067	ENSG00000112078.14	dORF
ENSG00000112130.17:O002	1.62007005464371	0.488514521731667	0.000912116064893276	0.00374745359994912	1.49798083454637	0.0230319910225344	0.02253834263738	0.00233122257803887	303.479919143272	-0.953225434168379	0.297770896189588	0.000446224922766468	0.0036489109720246	ENSG00000112130.17	mORF
ENSG00000112175.8:O024	-2.73244041028003	0.672169142951356	4.80101483237849e-05	0.000262323490841299	-2.09900981337413	0.00310177176458037	0.00302566856448914	0.000205877527750227	28.9030676347427	2.38843841489506	1.24776157122504	0.00320102654205183	0.0212395699705648	ENSG00000112175.8	uORF
ENSG00000112237.13:O013	19.0649602614861	17269.1018343809	0.999119141545353	0.999997263596305	6.04133813941951e-08	0.78262656809424	0.565253170648764	0.226153925910128	5.73104005335617	-0.117049357881356	0.681202138751053	0.607748009031365	NA	ENSG00000112237.13	dORF
ENSG00000112651.12:O003	-0.801761421179552	0.31580895487435	0.0111247841082613	0.0345843873209518	-0.610279480640207	0.24305471206779	0.238820716512932	0.0371535202796747	143.553469239041	2.20599650430877	0.635216446726878	3.68106540197434e-05	0.000376514289246794	NA	NA
ENSG00000113594.10:O006	12.7705728526425	465.614722879322	0.978118893070418	0.999997263596305	5.48810101581805e-05	0.782611315312093	0.56525438343496	0.23668496190986	12.4947079481244	-0.379795080554475	0.792796359361408	0.0954075274686771	0.340921595331763	ENSG00000113594.10	dORF
ENSG00000114354.15:O005	19.7578512779882	17686.511144146	0.999108672078852	0.999997263596305	5.77044246068254e-08	0.782626568280455	0.565253170607623	0.222491947025467	15.370482864973	-0.241283561874444	0.709584671469127	0.281372728804872	0.654490891756312	ENSG00000114354.15	dORF
ENSG00000115091.12:O001	-2.3070549350167	0.323368075614749	9.71667191151937e-13	1.48552964801113e-11	-2.10446171052752	1.40985001451099e-10	1.39986101149234e-10	8.53485914324671e-12	120.110997213819	3.14458314651036	0.624830896608212	2.84873385295274e-08	5.01173677130185e-07	ENSG00000115091.12	uORF
ENSG00000115216.14:O003	-0.345489467380359	0.636389632926336	0.58720565019341	0.795956507934802	-0.0782605384985589	0.83870261874295	0.771526749809097	0.365402241162991	19.8112141490113	0.363526958201135	0.698641383872877	0.245249397382806	0.609986467369582	ENSG00000115216.14	uORF
ENSG00000115241.11:O001	1.6355597492014	1.10184630808089	0.13770786651204	0.275762604224362	0.580589888756049	0.550419100268428	0.504258273371834	0.126245143558982	20.0962655503534	-0.442784050807912	0.786318340596452	0.163557965701874	0.484536047057634	ENSG00000115241.11	dORF
ENSG00000115507.10:O001	-1.2351988577952	0.663814053948113	0.0627780299755445	0.145082947181854	-0.676677293282302	0.433353552932423	0.41377146547006	0.0904197263917722	12.3510575419372	0.570389869607211	0.907866331499709	0.0847379142833539	0.31272023206458	ENSG00000115507.10	uORF
ENSG00000115677.18:O014	1.39006707758739	0.797709139881701	0.0814080832137596	0.177800621304777	0.676386569273848	0.465674141569004	0.439480745284999	0.102372476873123	55.3184507755079	-0.805941162771186	0.930017624176019	0.0900140709599639	0.326769989485711	ENSG00000115677.18	dORF
ENSG00000116044.17:O001	0.0522067752925137	0.230825226598129	0.821065719387822	0.999997263596305	0.00453971450672788	0.948742045202116	0.913043575641438	0.423924241844955	331.878219980445	-0.0858231145062791	0.288713726437956	0.727402368695095	0.92660104402557	ENSG00000116044.17	mORF
ENSG00000116237.16:O001	0.314027385608255	1.29181487699511	0.807935613494141	0.993517111721333	0.0721478386986423	0.808051069869676	0.67083759674263	0.305838014907736	18.7914763248876	0.0482061072606002	0.650015102942097	0.777204457342742	0.94326134741065	ENSG00000116237.16	dORF
ENSG00000116237.16:O028	-1.43708924398309	0.413667142730478	0.000512716732441909	0.00219145054995332	-1.39083521154059	0.0148411727932969	0.0145814954762189	0.00153115063715135	482.298104050065	1.07601237599215	0.244980470812049	3.08229981368024e-06	3.87463649596518e-05	ENSG00000116237.16	mORF
ENSG00000116455.14:O012	0.93467874914396	1.07526078514024	0.384706177515967	0.588722639317023	0.26593121314806	0.715354972599235	0.638458838624064	0.282000219764924	12.4012985223269	-0.097617230416903	0.643624170075507	0.674188939833976	0.906038717477219	ENSG00000116455.14	dORF
